stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,zone_id
"6851","59553",מכללת תל חי קמפוס מזרחי,רחוב:   עיר: תל חי רציף:  קומה: ,"33.231348",35.580213,false,,"59553"
"18707","51435",תל חי/90,רחוב: 90 עיר: קרית שמונה רציף:  קומה: ,"33.193619",35.56901,false,,"51435"
"18709","51437",ת. מרכזית ק''ש/רציפים,רחוב:   עיר: קרית שמונה רציף:  קומה: ,"33.209085",35.569276,true,,"51437"
"18710","51438",90/תל חי,רחוב: 90 עיר: קרית שמונה רציף:  קומה: ,"33.193996",35.5689,false,,"51438"
"18712","51440",בית המשפט/תל חי,רחוב: תל חי עיר: קרית שמונה רציף:  קומה: ,"33.196282",35.569384,false,,"51440"
"18714","51442",סולל בונה/תל חי,רחוב: תל חי עיר: קרית שמונה רציף:  קומה: ,"33.197250",35.569119,false,,"51442"
"18716","51444",תל חי/יצחק שדה,רחוב: תל חי 126 עיר: קרית שמונה רציף:  קומה: ,"33.200250",35.569282,false,,"51444"
"18717","51445",תל חי/הנרייטה סאלד,רחוב: תל חי 87 עיר: קרית שמונה רציף:  קומה: ,"33.201333",35.569591,false,,"51445"
"18719","51447",תל חי/יצחק שדה,רחוב: תל חי עיר: קרית שמונה רציף:  קומה: ,"33.202749",35.56935,false,,"51447"
"18722","51450",תנובה/תל חי,רחוב: תל חי 112 עיר: קרית שמונה רציף:  קומה: ,"33.206100",35.569493,false,,"51450"
"18723","51451",תל חי/אורי אילן,רחוב: תל חי 85 עיר: קרית שמונה רציף:  קומה: ,"33.205323",35.569651,false,,"51451"
"18725","51453",תנובה/תל חי,רחוב: תל חי 108 עיר: קרית שמונה רציף:  קומה: ,"33.207104",35.569642,false,,"51453"
"18726","51454",תנובה/תל חי,רחוב: תל חי עיר: קרית שמונה רציף:  קומה: ,"33.207158",35.569889,false,,"51454"
"18970","51716",כפר גלעדי,רחוב:   עיר: כפר גלעדי רציף:  קומה: ,"33.242363",35.574841,false,,"51716"
"18973","51719",צומת תל חי,רחוב: 90 עיר: הגליל העליון רציף:  קומה: ,"33.236252",35.58066,false,,"51719"
"18974","51720",מסעף כפר יובל,רחוב: 90 עיר: הגליל העליון רציף:  קומה: ,"33.243610",35.582243,false,,"51720"
"18975","51721",בית עלמין,רחוב: תל חי עיר: קרית שמונה רציף:  קומה: ,"33.226944",35.577492,false,,"51721"
"18990","51736",מסעף כפר יובל,רחוב: 90 עיר: הגליל העליון רציף:  קומה: ,"33.242630",35.582108,false,,"51736"
"19479","52280",בית ספר רמב''ם/יצחק שדה,רחוב: יצחק שדה 13 עיר: קרית שמונה רציף:  קומה: ,"33.198943",35.566383,false,,"52280"
"19480","52281",ברזילי/החולה,רחוב: ברזילי 28 עיר: קרית שמונה רציף:  קומה: ,"33.196549",35.567511,false,,"52281"
"19483","52284",כצנלסון/דן,רחוב: ברל כצנלסון 4 עיר: קרית שמונה רציף:  קומה: ,"33.205546",35.566463,false,,"52284"
"19484","52285",כצנלסון/ששת הימים,רחוב: ברל כצנלסון 12 עיר: קרית שמונה רציף:  קומה: ,"33.204092",35.565547,false,,"52285"
"19485","52286",כצנלסון/השופטים,רחוב: ברל כצנלסון 26 עיר: קרית שמונה רציף:  קומה: ,"33.201942",35.564859,false,,"52286"
"19486","52287",תל חי/סיני,רחוב: תל חי 116 עיר: קרית שמונה רציף:  קומה: ,"33.204747",35.569361,false,,"52287"
"19487","52288",שפרינצק/הירדן,רחוב: יוסף שפרינצק 55 עיר: קרית שמונה רציף:  קומה: ,"33.209797",35.574761,false,,"52288"
"19489","52290",הירדן/תל חי,רחוב: הירדן 6 עיר: קרית שמונה רציף:  קומה: ,"33.211105",35.571541,false,,"52290"
"19493","52294",קופת חולים/רשי,רחוב: רש''י 9 עיר: קרית שמונה רציף:  קומה: ,"33.218649",35.573792,false,,"52294"
"19494","52295",תל חי/הגלעד,רחוב: תל חי 66 עיר: קרית שמונה רציף:  קומה: ,"33.217544",35.570756,false,,"52295"
